date,behaviour_type,count
2017-11-24,buy,16863
2017-11-24,cart,64328
2017-11-24,fav,35722
2017-11-24,pv,1064518
2017-11-25,buy,201298
2017-11-25,cart,569236
2017-11-25,fav,305814
2017-11-25,pv,9435257
2017-11-26,buy,214314
2017-11-26,cart,575420
2017-11-26,fav,305722
2017-11-26,pv,9475590
2017-11-27,buy,218402
2017-11-27,cart,539212
2017-11-27,fav,289413
2017-11-27,pv,8966430
2017-11-28,buy,211757
2017-11-28,cart,533807
2017-11-28,fav,289431
2017-11-28,pv,8849194
2017-11-29,buy,223082
2017-11-29,cart,554747
2017-11-29,fav,299588
2017-11-29,pv,9241649
2017-11-30,buy,222238
2017-11-30,cart,573032
2017-11-30,fav,304428
2017-11-30,pv,9442000
2017-12-01,buy,212855
2017-12-01,cart,642251
2017-12-01,fav,314121
2017-12-01,pv,10002288
2017-12-02,buy,259555
2017-12-02,cart,801367
2017-12-02,fav,404821
2017-12-02,pv,12475206
2017-12-03,buy,235475
2017-12-03,cart,677046
2017-12-03,fav,339198
2017-12-03,pv,10708556
